feature,coef,abs_coef
und_nb::multi_in_one_out_mean_amount_ratio_24h,-0.06799063294376448,0.06799063294376448
und_nb::fast_in_out_balance_ratio_6h,-0.06774255724028726,0.06774255724028726
delta::in_txn_per_active_day,0.06768429687424353,0.06768429687424353
out_nb::in_round_1000_ratio,-0.06712239719388065,0.06712239719388065
und_nb::activity_hour_txn_max_ratio,-0.06661009659511898,0.06661009659511898
out_nb::prior_in_before_out_out_amount_ratio_1h,-0.06647040642966143,0.06647040642966143
und_nb::prior_in_before_out_mean_delay_min_1h,-0.06642151705994952,0.06642151705994952
und2_nb::txn_interarrival_min_min,-0.06610827367891096,0.06610827367891096
mix::out_active_months,0.06584989053600288,0.06584989053600288
und2_nb::fast_in_out_out_amount_ratio_1h,-0.06561792445499369,0.06561792445499369
und_nb::counterparty_txn_top_ratio,-0.06561542681780141,0.06561542681780141
und_nb::burst_day_txn_ratio,-0.06536303969857335,0.06536303969857335
in_nb::prior_in_before_out_count_24h,-0.0651221535888369,0.0651221535888369
und_nb::prior_in_before_out_out_amount_ratio_1h,-0.06509851514300989,0.06509851514300989
out_nb::daily_txn_count_max,-0.06501048280324837,0.06501048280324837
und2_nb::fast_in_out_count_24h,-0.06460586965235358,0.06460586965235358
und_nb::out_active_days,-0.06415750105756236,0.06415750105756236
und2_nb::in_small_amount_count,-0.06415372400850602,0.06415372400850602
und_nb::max_next_out_count_after_in_24h,-0.06388469202270664,0.06388469202270664
und_nb::fast_in_out_out_amount_ratio_1h,-0.06356473920018063,0.06356473920018063
und2_nb::out_small_amount_ratio,-0.06329250315943917,0.06329250315943917
und_nb::activity_hour_nunique,-0.06311743907734096,0.06311743907734096
in_nb::fast_in_out_mean_delay_min_24h,-0.0627109032482302,0.0627109032482302
out_nb::daily_txn_count_std,-0.0625435643896024,0.0625435643896024
in_nb::fast_in_out_balance_ratio_6h,-0.062036824492712854,0.062036824492712854
mix::monthly_txn_count_cv,-0.0618786367284642,0.0618786367284642
und2_nb::fast_in_out_in_amount_ratio_6h,-0.06137610340547301,0.06137610340547301
in_nb::in_txn_count,0.06119055866039402,0.06119055866039402
in_nb::counterparty_count,-0.06117508901669307,0.06117508901669307
und2_nb::in_txn_count,-0.06111983005624093,0.06111983005624093
delta::in_large_amount_ratio,-0.060919393884652645,0.060919393884652645
in_nb::in_round_1000_ratio,-0.06076357323317648,0.06076357323317648
in_nb::prior_in_before_out_mean_delay_min_1h,-0.06059696737293606,0.06059696737293606
out_nb::prior_in_before_out_count_1h,-0.060386344411875625,0.060386344411875625
self::in_small_amount_ratio,-0.06030369454816747,0.06030369454816747
out_nb::multi_in_one_out_count_24h,-0.0587332897896226,0.0587332897896226
und2_nb::in_txn_per_active_day,-0.05869889600052007,0.05869889600052007
out_nb::in_round_1000_count,-0.05721496200586656,0.05721496200586656
delta::max_prior_in_count_before_out_24h,-0.056621072059809166,0.056621072059809166
in_nb::fast_in_out_mean_delay_min_1h,-0.05643978491002826,0.05643978491002826
in_nb::prior_in_before_out_count_6h,-0.056373670200746344,0.056373670200746344
self::out_small_amount_ratio,-0.05634548966210832,0.05634548966210832
und2_nb::prior_in_before_out_mean_delay_min_24h,0.05621870726275167,0.05621870726275167
mix::activity_hour_entropy,-0.05613390262589682,0.05613390262589682
und2_nb::in_small_amount_ratio,-0.05575658383270526,0.05575658383270526
und_nb::in_out_count_ratio,0.055683595147407505,0.055683595147407505
und2_nb::fast_in_out_in_amount_ratio_1h,-0.055551260959978366,0.055551260959978366
mix::monthly_amount_sum_cv,-0.055443063008423006,0.055443063008423006
und2_nb::burst_day_txn_ratio,-0.05532168094148523,0.05532168094148523
mix::in_small_amount_ratio,-0.05498770328530745,0.05498770328530745
out_nb::multi_in_one_out_mean_amount_ratio_24h,-0.05437462529058184,0.05437462529058184
und2_nb::multi_in_one_out_count_24h,-0.05427964760464094,0.05427964760464094
und_nb::fast_in_out_balance_ratio_24h,-0.05406288930198434,0.05406288930198434
mix::prior_in_before_out_mean_delay_min_6h,-0.05347635565629455,0.05347635565629455
out_nb::fast_in_out_out_amount_ratio_24h,-0.05333476905136566,0.05333476905136566
delta::in_small_amount_count,-0.05326926692292047,0.05326926692292047
out_nb::prior_in_before_out_count_6h,-0.05306845889355846,0.05306845889355846
out_nb::fast_in_out_mean_delay_min_24h,-0.05274495543081249,0.05274495543081249
und2_nb::one_in_multi_out_count_24h,-0.052580602514809734,0.052580602514809734
out_nb::txn_interarrival_min_std,-0.052156923451841,0.052156923451841
in_nb::prior_in_before_out_count_1h,-0.05211215268230296,0.05211215268230296
delta::one_in_multi_out_in_amount_ratio_24h,-0.05207397300573085,0.05207397300573085
out_nb::in_out_count_ratio,-0.052000239645004866,0.052000239645004866
in_nb::daily_txn_count_max,0.051963533557204976,0.051963533557204976
in_nb::activity_hour_entropy,-0.05190502225307221,0.05190502225307221
in_nb::max_next_out_count_after_in_24h,-0.05178775087280836,0.05178775087280836
in_nb::prior_in_before_out_out_amount_ratio_6h,0.0517077726950243,0.0517077726950243
und_nb::max_prior_in_count_before_out_24h,-0.05147617582212995,0.05147617582212995
out_nb::total_txn_count,-0.051291238308874935,0.051291238308874935
und2_nb::prior_in_before_out_out_amount_ratio_6h,0.051289627543518755,0.051289627543518755
in_nb::in_small_amount_ratio,-0.051165381316791915,0.051165381316791915
und2_nb::fast_in_out_balance_ratio_24h,-0.0511479210998265,0.0511479210998265
und2_nb::monthly_txn_count_cv,-0.05098118852124475,0.05098118852124475
und2_nb::prior_in_before_out_out_amount_ratio_1h,-0.049924069166941705,0.049924069166941705
in_nb::fast_in_out_balance_ratio_24h,-0.04975637947177906,0.04975637947177906
und2_nb::prior_in_before_out_out_amount_ratio_24h,0.04890113993865071,0.04890113993865071
out_nb::prior_in_before_out_count_24h,-0.04890034191151932,0.04890034191151932
delta::in_night_txn_ratio,-0.048832866290222536,0.048832866290222536
und2_nb::max_next_out_count_after_in_24h,-0.04883233697321681,0.04883233697321681
delta::fast_in_out_in_amount_ratio_1h,-0.04832432486867485,0.04832432486867485
out_nb::burst_day_amount_ratio,-0.0468175051485344,0.0468175051485344
delta::fast_in_out_out_amount_ratio_24h,-0.0467621073462288,0.0467621073462288
und2_nb::fast_in_out_count_1h,-0.04666098313612537,0.04666098313612537
und2_nb::fast_in_out_count_6h,-0.04555506830744929,0.04555506830744929
in_nb::daily_txn_count_mean,0.04554241940734921,0.04554241940734921
out_nb::daily_txn_count_mean,-0.04521325996648235,0.04521325996648235
und2_nb::out_small_amount_count,-0.043862760618935126,0.043862760618935126
in_nb::burst_day_txn_ratio,-0.043544392858398916,0.043544392858398916
delta::out_amount_max,-0.04313265794254316,0.04313265794254316
und_nb::in_small_amount_count,-0.042913076309254145,0.042913076309254145
und2_nb::in_out_count_ratio,-0.04282167288098404,0.04282167288098404
und2_nb::in_night_txn_ratio,-0.042523907383311854,0.042523907383311854
delta::prior_in_before_out_out_amount_ratio_24h,-0.04194308564199035,0.04194308564199035
und2_nb::fast_in_out_mean_delay_min_24h,0.04132630987247045,0.04132630987247045
und2_nb::out_active_days,-0.04129099283127805,0.04129099283127805
out_nb::activity_hour_txn_max_ratio,-0.04080229455856467,0.04080229455856467
in_nb::out_small_amount_ratio,-0.040596104221964864,0.040596104221964864
und2_nb::counterparty_txn_max,-0.04009895234939746,0.04009895234939746
in_nb::last_month_txn_count,-0.04000456116446222,0.04000456116446222
und2_nb::prior_in_before_out_count_24h,-0.0398320071937537,0.0398320071937537
delta::daily_txn_count_cv,-0.0397689604787549,0.0397689604787549
und2_nb::daily_txn_count_mean,-0.039678726119206725,0.039678726119206725
und_nb::fast_in_out_out_amount_ratio_24h,-0.03922534952014134,0.03922534952014134
und2_nb::total_txn_count,-0.03917880757189752,0.03917880757189752
delta::last_month_txn_count,-0.038906754642115356,0.038906754642115356
