model,model_family,profile_policy,split,evaluation_scope,auc,pr_auc,top1pct_hits,top1pct_recall,top5pct_hits,top5pct_recall
RandomForest弱画像,traditional_baseline,transaction_graph_dynamic_only,test,all_accounts,0.761088877003375,0.011091072605974599,4,0.06779661016949153,9,0.15254237288135594
动态资金图谱RandomForest弱画像,dynamic_graph_random_forest,transaction_graph_dynamic_only,train,all_accounts,0.8152460916127208,0.01427219123974714,3,0.05084745762711865,8,0.13559322033898305
动态资金图谱RandomForest弱画像,dynamic_graph_random_forest,transaction_graph_dynamic_only,valid,all_accounts,0.8056295838635708,0.013923471537066285,2,0.03389830508474576,9,0.15254237288135594
动态资金图谱RandomForest弱画像,dynamic_graph_random_forest,transaction_graph_dynamic_only,test,all_accounts,0.8192728217234406,0.014885299246357132,2,0.03389830508474576,9,0.15254237288135594
GraphSAGE弱画像,pytorch_geometric_gnn,transaction_graph_dynamic_only,train,all_accounts,0.8213153882567025,0.02273570240838831,3,0.05084745762711865,9,0.15254237288135594
GraphSAGE弱画像,pytorch_geometric_gnn,transaction_graph_dynamic_only,valid,all_accounts,0.8113115766953763,0.01407182819695306,2,0.03389830508474576,9,0.15254237288135594
GraphSAGE弱画像,pytorch_geometric_gnn,transaction_graph_dynamic_only,test,all_accounts,0.8230044632153595,0.01500204906262269,2,0.03389830508474576,9,0.15254237288135594
XGBoost统计+图特征弱画像,xgboost_strong_baseline,transaction_graph_dynamic_only,train,all_accounts,0.7908482568254612,0.031041638098097894,3,0.05084745762711865,9,0.15254237288135594
XGBoost统计+图特征弱画像,xgboost_strong_baseline,transaction_graph_dynamic_only,valid,all_accounts,0.6895529407425167,0.021015277557640762,4,0.06779661016949153,12,0.2033898305084746
XGBoost统计+图特征弱画像,xgboost_strong_baseline,transaction_graph_dynamic_only,test,all_accounts,0.7198010610894918,0.021186397359716294,4,0.06779661016949153,9,0.15254237288135594
滚动动态资金图谱XGBoost弱画像,dynamic_graph_xgboost,transaction_graph_dynamic_only,train,all_accounts,0.7904179192563767,0.031012987242235016,3,0.05084745762711865,9,0.15254237288135594
滚动动态资金图谱XGBoost弱画像,dynamic_graph_xgboost,transaction_graph_dynamic_only,valid,all_accounts,0.6896113436983211,0.020972605145580518,4,0.06779661016949153,12,0.2033898305084746
滚动动态资金图谱XGBoost弱画像,dynamic_graph_xgboost,transaction_graph_dynamic_only,test,all_accounts,0.7237263544874987,0.021175367614390025,4,0.06779661016949153,9,0.15254237288135594
