weight_model8_current_best,weight_model9_catboost,weight_model10_tgn,valid_auc,valid_pr_auc,valid_top5pct_recall,valid_top5pct_hits
0.2,0.65,0.15,0.9696996243767789,0.6480404306477063,0.9152542372881356,54
0.15,0.5,0.35,0.9687982208615357,0.6450220366839748,0.9152542372881356,54
0.2,0.7,0.1,0.9693737973601864,0.6404054957882855,0.9152542372881356,54
0.1,0.35,0.55,0.967735440757886,0.640290225807598,0.9152542372881356,54
1.0,0.0,0.0,0.9756206082514155,0.6361676347468106,0.9491525423728814,56
0.15,0.55,0.3,0.9687236802468909,0.6342355033384846,0.9152542372881356,54
0.2,0.75,0.05,0.9691232794181835,0.6325816764115265,0.8983050847457628,53
0.2,0.8,0.0,0.9688620030369538,0.6242898008717106,0.8983050847457628,53
0.1,0.4,0.5,0.9672958816694639,0.624197534874366,0.8983050847457628,53
0.05,0.2,0.75,0.9668417218420908,0.6241848906081862,0.8983050847457628,53
0.15,0.6,0.25,0.9685730620977112,0.6241473032819389,0.8983050847457628,53
0.15,0.65,0.2,0.9683625040728377,0.6167169444172158,0.8983050847457628,53
0.1,0.45,0.45,0.9670776390451423,0.6130504376526348,0.8983050847457628,53
0.15,0.7,0.15,0.968122744570062,0.6096667107176404,0.8983050847457628,53
0.15,0.75,0.1,0.9679045019457405,0.6048016316443952,0.8983050847457628,53
0.1,0.5,0.4,0.9669070409373982,0.604314003537489,0.8983050847457628,53
0.05,0.25,0.7,0.966121674873819,0.6042794582280112,0.8983050847457628,53
0.15,0.8,0.05,0.9676462994042899,0.5968832336184763,0.8983050847457628,53
0.1,0.55,0.35,0.9667825504263416,0.5933114251340623,0.8983050847457628,53
0.15,0.85,0.0,0.9674941443352207,0.5912982563753212,0.8983050847457628,53
0.1,0.6,0.3,0.9666872613931872,0.5821692048036553,0.8813559322033898,52
0.05,0.3,0.65,0.9655776052329049,0.582101051570055,0.8813559322033898,52
0.1,0.65,0.25,0.9665935092799223,0.5757431323637161,0.8813559322033898,52
0.1,0.7,0.2,0.966430595771626,0.5718532595161642,0.864406779661017,51
0.05,0.35,0.6,0.9651641737826058,0.5717534676893885,0.864406779661017,51
0.1,0.75,0.15,0.966281514542336,0.5654160064748893,0.864406779661017,51
0.1,0.8,0.1,0.9660932418558614,0.5583109669619635,0.864406779661017,51
0.05,0.4,0.55,0.9646677486582689,0.5582908752624762,0.864406779661017,51
0.1,0.85,0.05,0.9659649090450808,0.5541428690038852,0.864406779661017,51
0.1,0.9,0.0,0.9658519454331963,0.5506580876383502,0.864406779661017,51
0.05,0.45,0.5,0.9643964822977567,0.5505541887993716,0.864406779661017,51
0.05,0.5,0.45,0.9643388478018972,0.5386993261901456,0.864406779661017,51
0.05,0.55,0.4,0.9642197365104541,0.5279457869056875,0.864406779661017,51
0.05,0.6,0.35,0.9642389480090741,0.5197161481760205,0.864406779661017,51
0.05,0.65,0.3,0.9641836188930489,0.5108350679045915,0.864406779661017,51
0.05,0.7,0.25,0.9641198367176309,0.5025845876297282,0.864406779661017,51
0.05,0.75,0.2,0.9639507755297763,0.4955186066548715,0.847457627118644,50
0.05,0.8,0.15,0.9638808456748001,0.4875878615000095,0.847457627118644,50
0.05,0.85,0.1,0.9638531811167874,0.48377645442658834,0.847457627118644,50
0.05,0.9,0.05,0.9637870935615352,0.47809361559502467,0.847457627118644,50
0.05,0.95,0.0,0.9637448282645715,0.4736013769896514,0.847457627118644,50
0.0,0.9,0.1,0.9606763677050097,0.33572203030533676,0.847457627118644,50
0.0,0.95,0.05,0.9606894315240712,0.3357171578418859,0.847457627118644,50
0.0,0.85,0.15,0.9606072063099782,0.33571615938297567,0.847457627118644,50
0.0,0.8,0.2,0.9605318972353885,0.33570794090806677,0.847457627118644,50
0.0,0.75,0.25,0.9604158597837245,0.33568840047888243,0.847457627118644,50
0.0,1.0,0.0,0.9606994215033535,0.33568398251226444,0.847457627118644,50
0.0,0.7,0.3,0.9603382453293005,0.3356716198151416,0.847457627118644,50
0.0,0.65,0.35,0.9601999225392376,0.33565335697487303,0.847457627118644,50
0.0,0.6,0.4,0.9600592943693403,0.3356355408910893,0.847457627118644,50
0.0,0.55,0.45,0.9598510417243011,0.3356182575859354,0.847457627118644,50
0.0,0.5,0.5,0.9596420206193172,0.3356032539975471,0.847457627118644,50
0.0,0.45,0.55,0.9595036978292544,0.3355934699466166,0.847457627118644,50
0.0,0.4,0.6,0.9595336677671014,0.3355908801622579,0.847457627118644,50
0.0,0.35,0.65,0.9595344362270462,0.3355899456430632,0.847457627118644,50
0.0,0.3,0.7,0.9595221408679294,0.33558904192757055,0.847457627118644,50
0.0,0.25,0.75,0.9594960132298065,0.33558756549599056,0.847457627118644,50
0.0,0.2,0.8,0.9595006239894752,0.3355862980529583,0.847457627118644,50
0.0,0.15,0.85,0.9594107141759343,0.33558272059092736,0.847457627118644,50
0.0,0.1,0.9,0.9592224414894597,0.3355772088960157,0.847457627118644,50
0.0,0.05,0.95,0.9590180311441446,0.33557104985530994,0.847457627118644,50
0.0,0.0,1.0,0.8043508665154337,0.013913670148772593,0.15254237288135594,9
