feature,coef,abs_coef
out_nb::in_out_count_ratio,-0.04959594507365845,0.04959594507365845
self::out_small_amount_ratio,-0.04958155815855633,0.04958155815855633
und2_nb::in_small_amount_count,-0.04957445513980212,0.04957445513980212
und_nb::region_code,-0.049148261728722234,0.049148261728722234
in_nb::fast_in_out_balance_ratio_24h,-0.04871217762969253,0.04871217762969253
delta::fast_in_out_out_amount_ratio_24h,-0.048615705763847196,0.048615705763847196
mix::in_large_amount_ratio,-0.048597118438789486,0.048597118438789486
out_nb::daily_txn_count_mean,-0.04857808444049515,0.04857808444049515
und_nb::txn_interarrival_min_min,-0.0484744929519355,0.0484744929519355
mix::in_round_1000_ratio,-0.048452590388918707,0.048452590388918707
delta::last_month_txn_count,-0.047410663412762136,0.047410663412762136
in_nb::prior_in_before_out_mean_delay_min_1h,-0.04711621440468973,0.04711621440468973
und2_nb::in_txn_count,-0.046630099049425555,0.046630099049425555
delta::out_amount_max,-0.04641694118724607,0.04641694118724607
mix::prior_in_before_out_mean_delay_min_6h,-0.04640683125396429,0.04640683125396429
und_nb::daily_txn_count_cv,-0.04550983587203737,0.04550983587203737
delta::fast_in_out_in_amount_ratio_1h,-0.045255032973544246,0.045255032973544246
out_nb::counterparty_txn_top_ratio,-0.045129289239696654,0.045129289239696654
self::in_amount_per_txn,-0.04491696074388045,0.04491696074388045
self::in_amount_mean,-0.04491696074388045,0.04491696074388045
und2_nb::in_txn_per_active_day,-0.044479720041641704,0.044479720041641704
in_nb::fast_in_out_mean_delay_min_1h,-0.04422720304798863,0.04422720304798863
delta::daily_amount_sum_cv,-0.044086429726731574,0.044086429726731574
und_nb::last_month_txn_count,-0.04374567153781538,0.04374567153781538
und_nb::fast_in_out_out_amount_ratio_24h,-0.043697712148866176,0.043697712148866176
und_nb::in_small_amount_count,-0.04338616893648946,0.04338616893648946
und_nb::prior_in_before_out_out_amount_ratio_6h,-0.043151577279057475,0.043151577279057475
und2_nb::out_active_days,-0.043003516541662824,0.043003516541662824
und_nb::out_amount_max,-0.04295377907684112,0.04295377907684112
delta::burst_day_amount_ratio,0.04288639532153021,0.04288639532153021
in_nb::monthly_txn_count_mean,-0.042885900602158945,0.042885900602158945
in_nb::out_txn_count,-0.042885900602158945,0.042885900602158945
und2_nb::region_code,-0.0428568972026372,0.0428568972026372
und_nb::one_in_multi_out_in_amount_ratio_24h,-0.042461001356878914,0.042461001356878914
mix::activity_hour_txn_max_ratio,-0.042054548020777155,0.042054548020777155
und2_nb::prior_in_before_out_out_amount_ratio_1h,-0.04193517935331186,0.04193517935331186
und2_nb::in_small_amount_ratio,-0.04095265346031918,0.04095265346031918
delta::in_night_txn_ratio,-0.04084309603419275,0.04084309603419275
und_nb::activity_hour_txn_max_ratio,-0.04069471909672187,0.04069471909672187
und2_nb::monthly_txn_count_cv,-0.04064790672579114,0.04064790672579114
und2_nb::fast_in_out_balance_ratio_1h,-0.04041274299891438,0.04041274299891438
self::in_small_amount_ratio,-0.0402847711878266,0.0402847711878266
delta::out_txn_count,-0.040150359414807456,0.040150359414807456
delta::monthly_txn_count_mean,-0.040150359414807456,0.040150359414807456
und2_nb::one_in_multi_out_count_24h,-0.03991152915459383,0.03991152915459383
out_nb::txn_interarrival_min_std,-0.03955311609069005,0.03955311609069005
in_nb::multi_in_one_out_count_24h,-0.039332203115130075,0.039332203115130075
out_nb::max_next_out_count_after_in_24h,-0.03896410087452367,0.03896410087452367
in_nb::daily_txn_count_max,0.03895544146788444,0.03895544146788444
mix::counterparty_txn_mean,-0.038773152838527856,0.038773152838527856
in_nb::burst_day_txn_ratio,-0.03865740497788705,0.03865740497788705
und2_nb::in_round_1000_ratio,-0.03859252944181322,0.03859252944181322
in_nb::in_counterparty_nunique,-0.038372064032567696,0.038372064032567696
und2_nb::multi_in_one_out_count_24h,-0.03809555292744742,0.03809555292744742
und2_nb::in_amount_max,0.03802216063129871,0.03802216063129871
und_nb::monthly_amount_sum_cv,0.03755766802944716,0.03755766802944716
delta::daily_amount_sum_mean,-0.037072966581270066,0.037072966581270066
out_nb::fast_in_out_mean_delay_min_1h,-0.03669414956139987,0.03669414956139987
und_nb::out_txn_count,-0.03663358165125883,0.03663358165125883
