account_id,node2vec_00,node2vec_01,node2vec_02,node2vec_03,node2vec_04,node2vec_05,node2vec_06,node2vec_07
8416,0.050106257,0.062460676,0.08612347,-0.08824395,0.06081909,-0.022242382,-0.1135931,0.07162817
5394,-0.5317925,-0.2109884,0.75181454,0.60125536,0.22611733,-0.23150812,0.99410474,-0.099097
5894,-1.1251817,-1.763743,-0.6556549,0.71667135,0.88634044,-1.8055633,0.7068345,-0.6659208
4994,-2.3475423,0.04281629,-0.9539554,1.1974907,1.5124048,-0.38096178,1.3443587,-0.48348173
1936,-0.75536716,-0.2455467,0.6680159,0.5172379,0.11874912,-0.02952514,0.9615818,-0.24570265
11069,-0.105430454,-0.014058664,-0.07873529,0.06121391,0.05143635,-0.029429674,0.048284605,0.04622805
5581,-0.93277884,-0.7156381,0.6621501,0.7218394,-1.1672596,-0.59861654,0.6874435,-0.12463487
7804,0.0010818541,0.035276666,-0.08152893,0.0056502223,0.026491046,0.08117862,-0.09430912,-0.06923495
9991,-0.711705,-0.40842393,0.7209285,0.9173917,-1.0534792,-0.49417093,0.6093434,-0.2191192
3353,-0.116493806,0.01754962,0.11698668,0.08316043,-0.10653454,-0.1089893,0.09477672,-0.041654304
4203,0.07048924,-0.09777267,0.011805549,0.0052822977,0.019836068,-0.07485837,-0.07321878,0.06908591
5715,0.0729018,0.046747074,-0.077804476,0.11106095,0.09363246,0.1213682,0.0143054575,-0.07604888
9475,-0.053692937,-0.09068239,0.023128241,-0.11259736,0.09207101,-0.07846421,0.0889326,-0.038720533
5901,-0.06350188,-0.064705014,0.0019076467,-0.045462713,0.05217263,-0.08875835,-0.10094431,0.09691474
6247,-0.5512341,-0.42160106,0.19582625,0.9518146,-1.5537102,-0.89948106,0.9304448,-0.071311384
6865,-0.11336872,-0.06600979,0.09827757,0.104092255,-0.0765782,-0.0619431,0.077536866,0.07291922
5851,0.058870316,-0.097544715,-0.044530228,0.09740274,-0.09123039,0.08337416,0.07312995,0.023252264
6940,-0.11223501,-0.046056822,0.06671183,-0.07585494,-0.024101764,-0.109144464,-0.091169015,0.07169093
10383,0.035996124,-0.07346779,0.053094745,0.0045280308,-0.02214405,-0.08085364,-0.078474775,-0.05869843
5899,-0.08116272,-0.12485793,0.0062208176,-0.035908893,0.10669556,-0.05328761,0.06399898,-0.118946895
6287,0.10655281,-0.06399144,0.0011463612,0.033994198,0.098464295,0.06314029,-0.049504012,-0.03655307
4927,-0.040601164,0.09251739,-0.019185066,-0.06146449,0.02622369,0.10581097,-0.0030448437,0.09869623
361,0.10938856,0.08437812,-0.07798371,0.10945162,0.08302198,0.063800305,0.052882075,0.005424127
8023,-1.082761,-1.5699583,-0.7448578,0.5531831,0.7485475,-1.4119816,0.6535994,-0.89181674
3405,-0.10063532,0.10175781,-0.0014076531,0.044137165,-0.028750494,-0.10024348,0.030010149,0.04478948
4292,-1.1258093,-1.7132326,-0.66507083,0.7313917,0.94869953,-1.354397,0.68668133,-0.8760546
1790,-0.9226569,-1.785435,-0.5153145,0.8175481,0.93286145,-1.4571073,0.5199416,-0.9058114
6863,0.10543555,-0.05188562,-0.112647966,0.07068163,0.08544439,-0.034140617,-0.09068683,-0.037707075
7551,-0.7793473,-0.23083648,0.70435053,0.47227263,0.17370388,-0.16643775,0.6843562,-0.38381642
11087,-0.013462901,0.0013624579,-0.018733293,-0.014943987,0.0134320855,-0.024176925,-0.122988865,-0.00026248395
1510,0.04283613,0.11052671,0.022784919,0.062316358,-0.12041378,0.11221595,-0.070409685,-0.10556424
4843,-0.0003296584,0.08845495,-0.11906926,-0.098545074,0.09383096,0.0006184876,-0.0937645,-0.054227516
1938,-0.4146618,1.0292249,-0.53502595,1.8777494,-0.3537187,0.1299521,1.8797113,-0.8604109
3400,0.033038393,-0.60166353,-0.41952285,2.6998978,0.093546644,-1.0041653,1.3001317,0.44335034
4727,-0.021859037,-0.44657546,-0.3209949,2.699639,0.116972715,-0.83212996,1.2810582,0.38970068
10373,-1.000985,-1.6855412,-0.5601576,0.7092713,0.83234966,-1.55123,0.61989903,-0.7989895
3854,-1.927712,0.52215827,-0.69052136,0.7342455,-0.7699597,-1.044863,0.58370775,-1.2348822
6417,-0.6943928,-0.19737452,0.63618934,0.52430296,0.28531843,-0.06430529,0.93424624,-0.19159275
5860,-0.87771815,-0.63444984,0.58242357,0.89428514,-1.1984826,-0.50629014,0.524056,-0.19576137
10083,-1.8934793,0.5046624,-0.70257795,0.56631434,-0.8290598,-0.9215433,0.81110024,-1.4276817
5159,-0.070785135,-0.05819173,-0.011112437,0.035744056,0.07187568,-0.1128227,-0.10818286,-0.012689516
2695,-0.027237236,-0.09121968,0.011156663,-0.09148963,0.066409126,0.055732608,-0.0067729056,0.11053811
